filename,makam,form,usul,title,composer,midi_path,processed_filename
muhayyersunbule--sarki--sarkidevrirevani--ey_nihal-i--ahmed_aga.mid,muhayyersunbule,sarki,sarkidevrirevani,ey nihal-i,ahmed aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyersunbule--sarki--sarkidevrirevani--ey_nihal-i--ahmed_aga.mid,symbtr_053_muhayyersunbule_sarki.mid
sevkefza--sarki--semai--geldik_gidiyoruz--omer_dilek.mid,sevkefza,sarki,semai,geldik gidiyoruz,omer dilek,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sevkefza--sarki--semai--geldik_gidiyoruz--omer_dilek.mid,symbtr_054_sevkefza_sarki.mid
acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid,acem,ilahi,duyek,aldanma dunya,zekai dede,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid,symbtr_055_acem_ilahi.mid
ruyidilara--sazsemaisi--aksaksemai----erzurumlu_hasib_dede.mid,ruyidilara,sazsemaisi,aksaksemai,,erzurumlu hasib dede,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ruyidilara--sazsemaisi--aksaksemai----erzurumlu_hasib_dede.mid,symbtr_056_ruyidilara_sazsemaisi.mid
hicaz--sarki--semai--degdi_saclarima--bekirof.mid,hicaz,sarki,semai,degdi saclarima,bekirof,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--sarki--semai--degdi_saclarima--bekirof.mid,symbtr_057_hicaz_sarki.mid
muhayyer--sazsemaisi--aksaksemai----tanburi_cemil_bey.mid,muhayyer,sazsemaisi,aksaksemai,,tanburi cemil bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyer--sazsemaisi--aksaksemai----tanburi_cemil_bey.mid,symbtr_058_muhayyer_sazsemaisi.mid
huseyni--sarki--turkaksagi--hicran_oku--sevki_bey.mid,huseyni,sarki,turkaksagi,hicran oku,sevki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--sarki--turkaksagi--hicran_oku--sevki_bey.mid,symbtr_059_huseyni_sarki.mid
segah--turku--aksak--yarim_istanbulu--kayseri.mid,segah,turku,aksak,yarim istanbulu,kayseri,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--turku--aksak--yarim_istanbulu--kayseri.mid,symbtr_060_segah_turku.mid
mahur--sarki--agiraksak--sen_gul--tanburi_cemil_bey.mid,mahur,sarki,agiraksak,sen gul,tanburi cemil bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/mahur--sarki--agiraksak--sen_gul--tanburi_cemil_bey.mid,symbtr_061_mahur_sarki.mid
nihavent--sarki--agiraksak--akibet_viran--numan_aga.mid,nihavent,sarki,agiraksak,akibet viran,numan aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nihavent--sarki--agiraksak--akibet_viran--numan_aga.mid,symbtr_062_nihavent_sarki.mid
