filename,makam,form,usul,title,composer,midi_path,processed_filename
ruhnuvaz--seyir--sofyan--1--erol_bingol.mid,ruhnuvaz,seyir,sofyan,1,erol bingol,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ruhnuvaz--seyir--sofyan--1--erol_bingol.mid,symbtr_172_ruhnuvaz_seyir.mid
gulizar--kocekce--aksak--nazli_nazli--dede_efendi.mid,gulizar,kocekce,aksak,nazli nazli,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gulizar--kocekce--aksak--nazli_nazli--dede_efendi.mid,symbtr_173_gulizar_kocekce.mid
buselikasiran--seyir--sofyan--1--sefik_gurmeric.mid,buselikasiran,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/buselikasiran--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_174_buselikasiran_seyir.mid
hicaz--sarki--aksak--sen_bu_yerden--sevki_bey.mid,hicaz,sarki,aksak,sen bu yerden,sevki bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--sarki--aksak--sen_bu_yerden--sevki_bey.mid,symbtr_175_hicaz_sarki.mid
rasticedid--kupe--devrirevanihindi--etse_hanende--ahmet_avni_konuk.mid,rasticedid,kupe,devrirevanihindi,etse hanende,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rasticedid--kupe--devrirevanihindi--etse_hanende--ahmet_avni_konuk.mid,symbtr_176_rasticedid_kupe.mid
nisabureyn--pesrev--devriaryan----ozan_yarman.mid,nisabureyn,pesrev,devriaryan,,ozan yarman,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nisabureyn--pesrev--devriaryan----ozan_yarman.mid,symbtr_177_nisabureyn_pesrev.mid
ussak--seyir--sofyan--1--erol_bingol.mid,ussak,seyir,sofyan,1,erol bingol,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--seyir--sofyan--1--erol_bingol.mid,symbtr_178_ussak_seyir.mid
rahatulervah--seyir--sofyan--1--sefik_gurmeric.mid,rahatulervah,seyir,sofyan,1,sefik gurmeric,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rahatulervah--seyir--sofyan--1--sefik_gurmeric.mid,symbtr_179_rahatulervah_seyir.mid
hicaz--sarki--turkaksagi--saydeyledi_bu--haci_arif_bey.mid,hicaz,sarki,turkaksagi,saydeyledi bu,haci arif bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz--sarki--turkaksagi--saydeyledi_bu--haci_arif_bey.mid,symbtr_180_hicaz_sarki.mid
karcigar--sarki--agiraksak--ah_efendim--hafiz_yusuf_efendi.mid,karcigar,sarki,agiraksak,ah efendim,hafiz yusuf efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/karcigar--sarki--agiraksak--ah_efendim--hafiz_yusuf_efendi.mid,symbtr_181_karcigar_sarki.mid
ussak--sarki--musemmen--gonlumun_bir--emin_ongan.mid,ussak,sarki,musemmen,gonlumun bir,emin ongan,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ussak--sarki--musemmen--gonlumun_bir--emin_ongan.mid,symbtr_182_ussak_sarki.mid
dugah--ilahi--agircenber--gel_ey_salik--dede_efendi.mid,dugah,ilahi,agircenber,gel ey salik,dede efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/dugah--ilahi--agircenber--gel_ey_salik--dede_efendi.mid,symbtr_183_dugah_ilahi.mid
suzinak--agirsemai--aksaksemai--kapilir_her--kucuk_mehmet_aga.mid,suzinak,agirsemai,aksaksemai,kapilir her,kucuk mehmet aga,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/suzinak--agirsemai--aksaksemai--kapilir_her--kucuk_mehmet_aga.mid,symbtr_184_suzinak_agirsemai.mid
nevabuselik--sarki--duyek--elbet_gonullerde--sadettin_kaynak.mid,nevabuselik,sarki,duyek,elbet gonullerde,sadettin kaynak,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/nevabuselik--sarki--duyek--elbet_gonullerde--sadettin_kaynak.mid,symbtr_185_nevabuselik_sarki.mid
sultaniirak--kupe--duyek--sah-i--ahmet_avni_konuk.mid,sultaniirak,kupe,duyek,sah-i,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/sultaniirak--kupe--duyek--sah-i--ahmet_avni_konuk.mid,symbtr_186_sultaniirak_kupe.mid
muhayyerkurdi--sazsemaisi--aksaksemai----sadi_isilay.mid,muhayyerkurdi,sazsemaisi,aksaksemai,,sadi isilay,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/muhayyerkurdi--sazsemaisi--aksaksemai----sadi_isilay.mid,symbtr_187_muhayyerkurdi_sazsemaisi.mid
segah--sarki--kapali_curcuna--hasta_kalbimde--kaptanzade_ali_riza_bey.mid,segah,sarki,kapali_curcuna,hasta kalbimde,kaptanzade ali riza bey,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/segah--sarki--kapali_curcuna--hasta_kalbimde--kaptanzade_ali_riza_bey.mid,symbtr_188_segah_sarki.mid
evic--seyir--semai--1--rauf_yekta.mid,evic,seyir,semai,1,rauf yekta,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/evic--seyir--semai--1--rauf_yekta.mid,symbtr_189_evic_seyir.mid
hicaz_humayun--turku--turkaksagi--beni_seni--trabzon.mid,hicaz_humayun,turku,turkaksagi,beni seni,trabzon,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/hicaz_humayun--turku--turkaksagi--beni_seni--trabzon.mid,symbtr_190_hicaz_humayun_turku.mid
guldeste--sazsemaisi--aksaksemai----dede_salih_efendi.mid,guldeste,sazsemaisi,aksaksemai,,dede salih efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/guldeste--sazsemaisi--aksaksemai----dede_salih_efendi.mid,symbtr_191_guldeste_sazsemaisi.mid
araban--kupe--musemmen--etse--ahmet_avni_konuk.mid,araban,kupe,musemmen,etse,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/araban--kupe--musemmen--etse--ahmet_avni_konuk.mid,symbtr_192_araban_kupe.mid
huseyni--sarki--aksak--sensizlige_soylendi--ilgun_soysev.mid,huseyni,sarki,aksak,sensizlige soylendi,ilgun soysev,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--sarki--aksak--sensizlige_soylendi--ilgun_soysev.mid,symbtr_193_huseyni_sarki.mid
gerdaniyebuselik--kupe--aksak--oturup_bir--ahmet_avni_konuk.mid,gerdaniyebuselik,kupe,aksak,oturup bir,ahmet avni konuk,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/gerdaniyebuselik--kupe--aksak--oturup_bir--ahmet_avni_konuk.mid,symbtr_194_gerdaniyebuselik_kupe.mid
huseyni--sarki--aksak--sevdigim_cemalin--mahmud_celaleddin_pasa.mid,huseyni,sarki,aksak,sevdigim cemalin,mahmud celaleddin pasa,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/huseyni--sarki--aksak--sevdigim_cemalin--mahmud_celaleddin_pasa.mid,symbtr_195_huseyni_sarki.mid
rast--sarki--curcuna--mey-i_lalinle--tatyos_efendi.mid,rast,sarki,curcuna,mey-i lalinle,tatyos efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--sarki--curcuna--mey-i_lalinle--tatyos_efendi.mid,symbtr_196_rast_sarki.mid
ruyiirak--sazsemaisi--aksaksemai----kani_karaca.mid,ruyiirak,sazsemaisi,aksaksemai,,kani karaca,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/ruyiirak--sazsemaisi--aksaksemai----kani_karaca.mid,symbtr_197_ruyiirak_sazsemaisi.mid
neva--agirsemai--aksaksemai--sevdi_bu_gonul--ama_kadri_efendi.mid,neva,agirsemai,aksaksemai,sevdi bu gonul,ama kadri efendi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/neva--agirsemai--aksaksemai--sevdi_bu_gonul--ama_kadri_efendi.mid,symbtr_198_neva_agirsemai.mid
rast--sarki--sofyan--yarali_gonlumde--omer_sami_gupgup.mid,rast,sarki,sofyan,yarali gonlumde,omer sami gupgup,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/SymbTr/midi/rast--sarki--sofyan--yarali_gonlumde--omer_sami_gupgup.mid,symbtr_199_rast_sarki.mid
