path,duration_s,note_count,note_density,pitch_min,pitch_max,pitch_range,avg_pitch,avg_velocity,avg_note_dur_s,pc_entropy,n_instruments,filename,tradition
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_042_Kailasapathe.mid,2671.07,10696,4.004,39,88,49,63.2,65.8,0.246,2.6111,1,carnatic_042_Kailasapathe.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_043_Lalitha_Lavanga.mid,318.19,1530,4.808,39,79,40,61.9,71.7,0.243,2.8034,1,carnatic_043_Lalitha_Lavanga.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_044_Tolinenu_Jesina.mid,257.11,1057,4.111,41,88,47,61.6,65.4,0.217,2.7656,1,carnatic_044_Tolinenu_Jesina.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_045_Neene_Ballideno.mid,799.05,2526,3.161,44,86,42,65.1,65.1,0.258,2.5775,1,carnatic_045_Neene_Ballideno.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_046_Paragu_Matada.mid,1390.59,3965,2.851,31,104,73,66.0,63.3,0.269,2.9626,1,carnatic_046_Paragu_Matada.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_047_Tamburi_Mitidava.mid,187.8,659,3.509,44,80,36,65.1,67.3,0.22,2.8228,1,carnatic_047_Tamburi_Mitidava.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_048_bhairavi.mid,3131.69,5560,1.775,30,99,69,63.2,61.2,0.281,3.1694,1,carnatic_048_bhairavi.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_049_Gamakakriya.mid,1720.51,3738,2.173,30,89,59,63.9,61.0,0.258,3.1156,1,carnatic_049_Gamakakriya.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_050_kalgada.mid,254.96,653,2.561,30,99,69,59.8,61.4,0.26,2.8925,1,carnatic_050_kalgada.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_051_Dorakuna.mid,2044.02,7700,3.767,28,102,74,63.8,67.7,0.258,2.6762,1,carnatic_051_Dorakuna.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_052_Ganamuda_Panam.mid,1775.56,6963,3.922,31,95,64,63.9,68.2,0.265,2.8207,1,carnatic_052_Ganamuda_Panam.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_053_riti_gaula.mid,1355.04,3348,2.471,38,106,68,61.4,63.5,0.267,3.1924,1,carnatic_053_riti_gaula.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_054_Shlokham.mid,2340.88,4614,1.971,38,106,68,63.5,60.7,0.262,3.2072,1,carnatic_054_Shlokham.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_055_gambhira_nata.mid,379.19,705,1.859,42,101,59,58.9,63.8,0.236,2.6242,1,carnatic_055_gambhira_nata.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_056_thodi.mid,192.25,380,1.977,43,73,30,60.0,57.6,0.228,2.6951,1,carnatic_056_thodi.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_057_Janakipathe.mid,1791.39,6204,3.463,42,103,61,66.1,66.5,0.237,3.0687,1,carnatic_057_Janakipathe.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_058_Kanakangaka_Guha.mid,273.51,1146,4.19,44,90,46,62.1,65.0,0.216,2.7846,1,carnatic_058_Kanakangaka_Guha.mid,carnatic
/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_059_Vinakayunna_Della.mid,1153.46,4154,3.601,44,102,58,66.8,69.0,0.246,2.5527,1,carnatic_059_Vinakayunna_Della.mid,carnatic
